"id";"estado_id";"municipio_id";"parroquia_id";"codigo";"nombre";"referencia"
1;1;1;1;"10101027";UNIDAD EDUCATIVA DISTRITAL ANTONIO ORNES;BARRIO SAN JOSE COTIZA FRENTE CALLE LOS EUCALIPTUS. DERECHA ESCALERA SAN MARCOS. IZQUIERDA ESCALERA SAN JUDA FRENTE AL PARQUE ANDRES GALARRAGA EDIFICIO
2;1;1;1;"10101001";UNIDAD EDUCATIVA DISTRITAL MADARIAGA;SECTOR ALTAGRACIA DERECHA CALLE CONCORDIA. IZQUIERDA CALLE DELICIAS. FRENTE CALLE DELICIAS A CONCORDIA AL FRENTE COLEGIO BELUTINI CASA
3;1;1;1;"10101002";UNIDAD EDUCATIVA SANTA BARBARA;SECTOR SANTA BARBARA DERECHA CALLE PARAISO. IZQUIERDA CALLE DOCTOR GONZALEZ. FRENTE CALLE PARAISO FRENTE ESQUINAS DOCTOR GONZÁLEZ A PARAÍSO EDIFICIO
4;1;1;1;"10101025";CENTRO MUNICIPAL DE ATENCIÓN INTEGRAL ALTAGRACIA;SECTOR EL RETIRO DERECHA CALLE LOS EUCALIPTUS. IZQUIERDA CALLE SEGUNDA CALLE EL RETIRO. FRENTE CALLE FINAL AVENIDA BARALT INICIO DE AVENIDA  COTA MIL FRENTE RESIDENCIAS VILLA DEL SUR DIAGONAL PARADA DE AUTOBUSES COTIZA CASA
5;1;1;1;"10101026";CENTRO DE EDUCACIÓN INICIAL SAMUEL ROBINSÓN;SECTOR EL RETIRO DERECHA CALLE TERRAZA A. IZQUIERDA CALLE PRIMERA CALLE EL RETIRO. FRENTE TRANSVERSAL ENTRE EL RETIRO Y TERRAZA A FINAL AVENIDA BARALT CON PRIMERA CALLE DEL RETIRO CASA
6;1;1;1;"10101003";UNIDAD EDUCATIVA PRIVADA COLEGIO LA SALLE;SECTOR TIENDA HONDA DERECHA CALLE TIENDA HONDA. IZQUIERDA CALLE SANTA BARBARA. FRENTE CALLE TIENDA HONDA A SANTA BARBARA FRENTE ESQUINAS ESTE CINCO TIENDA HONDA A ESTE CINCO SANTA BARBARA EDIFICIO
7;1;1;1;"10101004";UNIDAD EDUCATIVA NACIONAL DOCTOR FRANCISCO MENDOZA;SECTOR CASCO UNO DERECHA CALLE CEIBA. IZQUIERDA CALLE PORVENIR. FRENTE CALLE CEIBA A PORVENIR FRENTE  CASA DE LA ALIMENTACIÓN Y MISIÓN VUELVAN CARAS CASA
8;1;1;1;"10101006";COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA;URBANIZACIÓN ALTAGRACIA DERECHA CALLE MERCEDES. IZQUIERDA CALLE MERCEDES. FRENTE CALLE MIJARES LATERAL AL BANCO CENTRAL DE VENEZUELA Y DIAGONAL A LA IGLESIA LAS MERCEDES EDIFICIO
9;1;1;1;"10101007";ESCUELA NACIONAL DE ARTES ESCÉNICAS CESAR RENGIFO;SECTOR CASCO II DERECHA CALLE EL CUÑO. IZQUIERDA CALLE CAJA DE AGUA. FRENTE CALLE EL CUÑO DIAGONAL A LA JUNTA PARROQUIAL DE ALTAGRACIA EDIFICIO
10;1;1;1;"10101008";UNIDAD EDUCATIVA NACIONAL SIMÓN BOLÍVAR;SECTOR EL CUNO FRENTE CALLE CUNO A GUANABANO. DERECHA CALLEJÓN GUANABANO. IZQUIERDA CALLEJÓN CUNO FRENTE OESTE NUEVE Y ESQUINA CUÑO A GUANABANO EDIFICIO
11;1;1;1;"10101009";UNIDAD EDUCATIVA SANTA TERESA DEL NIÑO JESÚS;SECTOR CASCO III DERECHA AVENIDA PANTEON. IZQUIERDA CALLE SANTA BARBARA A CANONIGO. FRENTE CALLE SANTA BARBARA ENTRE PANADERÍA PUENTE PÁEZ E IGLESIA SANTÍSIMA TRINIDAD CASA
12;1;1;1;"10101028";BIBLIOTECA NACIONAL SALA UNO;SECTOR PANTEON FRENTE AVENIDA AVENIDA PANTEON. DERECHA CALLE ESQUINA DE FE. IZQUIERDA CALLE REMEDIO FRENTE AL FINAL DE LA AVENIDA PANTEÓN EDIFICIO
13;1;1;1;"10101010";CENTRO DE EDUCACIÓN INICIAL RAFAEL MARIA BARALT;URBANIZACIÓN CARABALLO DERECHA CALLE LOS CUJICITOS. IZQUIERDA CALLEJÓN LOS CUJICITOS. FRENTE PASAJE BLOQUE 1 FRENTE AL CENTRO DE DIAGNOSTICO INTEGRAL (CDI) EDIFICIO
14;1;1;1;"10101031";CASA DE NUESTRA AMERICA JOSE MARTI;URBANIZACIÓN CASCO II DERECHA AVENIDA URDANETA. IZQUIERDA CALLE JESUITA. FRENTE BULEVAR PANTEON FRENTE A LA CASA DE HISTORIA FUNDACION MENDOZA CASA
15;1;1;1;"10101032";UNIDAD EDUCATIVA FUENTE DEL SABER;URBANIZACIÓN CASCO I DERECHA AVENIDA OESTE 5. IZQUIERDA AVENIDA OESTE 7. FRENTE AVENIDA OESTE 8 FRENTE AL PRE ESCOLAR AMADA PRESENCIA CASA
16;1;1;1;"10101033";UNIDAD EDUCATIVA CENTRO  ORIENTACIÓN PEDAGÓGICA  A;URBANIZACIÓN CASCO 1 FRENTE AVENIDA OESTE 8. DERECHA CALLE PINEDA. IZQUIERDA CALLE OESTE 5 ESQUINA  TORO A DOS CUADRA DETRÁS DE MIRAFLORES CASA
17;1;1;1;"10101035";CASA VILLAS DEL SOL;URBANIZACIÓN VILLAS DEL SOL IZQUIERDA CALLE PRINCIPAL LOS EUCALIPTUS. DERECHA CALLEJÓN SANTA EDUVIGIS. FRENTE CALLEJÓN CARMEN CLEMENTE TRAVIEZO FRENTE A CANCHA DEPORTIVA CASA
18;1;1;1;"10101036";OFICINA PRESIDENCIAL PARA PROYECTOS ESPECIALES 06;AVENIDA NORTE 3 ESQUINA CANONIGOS A ESPERANZA FRENTE A LA CLÍNICA PREVENCIÓN AL CANCÉR
19;1;1;1;"10101037";SALA SITUACIONAL PANTEÓN NACIONAL;AVENIDA NORTE 4 ESQUINA DE CUÑO A CUARTEL SAN CARLOS EDIFICIO GARAGE NORTE
20;1;1;1;"10101038";REGISTRO CIVIL DE ALTAGRACIA;AVENIDA JOSE MARIA VARGAS ESQUINA DE SAN ISIDRO A GRACIAS DE DIOS
21;1;1;1;"10101039";CASA COMUNAL LA TRILLA NÚMERO 13;PUENTE TRINIDAD A TRILLA CALLE 1 DETRÁS DEL MIPPCI
22;1;1;2;"10102004";ESCUELA MUNICIPAL JOSÉ RAMÓN CAMEJO;SECTOR SARRÍA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRÍA FRENTE AL MÓDULO DE BARRIO ADENTRO CASA
23;1;1;2;"10102017";IPOSTEL;SECTOR LA CANDELARIA DERECHA AVENIDA NORTE 13. IZQUIERDA AVENIDA NORTE 15. FRENTE AVENIDA URDANETA PLAZA LA CANDELARIA LOCAL COMERCIAL
24;1;1;2;"10102018";COLEGIO DORA BURGUEÑO;SECTOR LA CANDELARIA DERECHA AVENIDA SUR 21. IZQUIERDA AVENIDA OESTE. FRENTE AVENIDA AVENIDA ESTE CON CALLE 19 DIAGONAL AL CENTRO FINANCIERO PROVINCIAL EDIFICIO
25;1;1;2;"10102019";CENTRO DE EDUCACION INICIAL BOLIVARIANO SIMONCITO;URBANIZACIÓN CANDELARIA FRENTE AVENIDA SUR 21. DERECHA CALLE COLIMODIO. IZQUIERDA CALLE ESTE 2 DETRAS DEL CENTRO COMERCIAL PARQUE CARACAS EDIFICIO
26;1;1;2;"10102005";COLEGIO LA VIRGEN NIÑA;SECTOR SARRIA DERECHA CALLE SAN PEDRO. IZQUIERDA CALLE SANTO DOMINGO. FRENTE CALLE REAL DE SARRÍA FRENTE A LA MUEBLERÍA COMERCIAL DECODAN. C.A. CASA
27;1;1;2;"10102006";COLEGIO SAN FRANCISCO DE SALES;URBANIZACIÓN CANDELARIA FRENTE AVENIDA ANDRES BELLO. DERECHA CALLE SALESIANO. IZQUIERDA CALLE PARADERO FRENTE A LA TORRE FUNDACION DEL NIÑO CASA
28;1;1;2;"10102007";ESCUELA BASICA JOSEFINA DAVIOT;URBANIZACIÓN CANDELARIA DERECHA AVENIDA VENUS. FRENTE AVENIDA PARADERO. IZQUIERDA CALLE ESQUINA PARADERO FRENTE AL EDIFICIO SAN JOSE DEL AVILA A 50 METROS DE LA CRUZ ROJA INTERNACIONAL CASA
29;1;1;2;"10102008";ESCUELA EXPERIMENTAL VENEZUELA;URBANIZACIÓN CANDELARIA LOS CAOBOS DERECHA AVENIDA SUR 23. IZQUIERDA AVENIDA ESTE DOS. FRENTE AVENIDA MÉXICO A LA IZQUIERDA PLAZA MORELOS FRENTE AL HOTEL ALBA EDIFICIO
30;1;1;8;"10108063";MODULO DE  SALUD LOS MANGOS;FINAL AV LOS CARMENES CALLE LOS MANGOS SECTOR LA CANCHA
31;1;1;2;"10102009";PATRONATO SAN JOSÉ DE TARBES;URBANIZACIÓN CANDELARIA DERECHA AVENIDA SUR 23. IZQUIERDA AVENIDA SUR 21. FRENTE AVENIDA ESTE 2 FRENTE A LA CLÍNICA BRICEÑO ROSSI CASA
96;1;1;4;"10104056";UNIDAD EDUCATIVA CESAR REGIJO;MOLINO A RANCHO GRANDE CASA N°25 MANICOMIO LA PASTORA
32;1;1;2;"10102010";LICEO ANDRÉS BELLO;URBANIZACIÓN LA CANDELARIA IZQUIERDA AVENIDA GALERIAS. FRENTE AVENIDA MÉXICO. DERECHA CALLE MISERICORDIA AL LADO DEL METRO DE PARQUE CARABOBO EDIFICIO
33;1;1;2;"10102011";ESCUELA BASICA NACIONAL JOSE ANGEL ALAMO;SECTOR LA CANDELARIA FRENTE AVENIDA ESTE 0. DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE MANDUCA A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO
34;1;1;2;"10102012";OFICINA DEL MINISTERIO DEL TRABAJO;SECTOR CANDELARIA DERECHA CALLE FERRENQUIN. IZQUIERDA CALLE MANDUCA. FRENTE CALLE AVENIDA ESTE A MEDIA CUADRA DEL RESTAURANTE BARCO DE COLON EDIFICIO
35;1;1;2;"10102013";UNIDAD EDUCATIVA LICEO ALCAZAR;SECTOR LA CANDELARIA DERECHA CALLE ROMUALDA. IZQUIERDA CALLE MANDUCA. FRENTE CALLE MANDUCA A MEDIA CUADRA DEL BANCO EXTERIOR CASA
36;1;1;2;"10102014";UNIDAD EDUCATIVA COLEGIO LUIS DE CAMOES;SECTOR LA CANDELARIA DERECHA AVENIDA UNIVERSIDAD. FRENTE AVENIDA SUR 13 ESQUINA DE MIGUELACHO. IZQUIERDA CALLE MIGUELACHO DIAGONAL A LA ESTACION DELMETRO PARQUE CARABOBO CASA
37;1;1;2;"10102015";INSTITUTO UNITARIO DEL CENTRO;SECTOR LA CANDELARIA FRENTE AVENIDA UNIVERSIDAD. DERECHA CALLE ESQUINA MONROY. IZQUIERDA CALLE ESQUINA DE MISERICORDIA FRENTE AL CICPC Y AL LADO DE LA ESTACION DEL METRO PARQUE CARABOBO CASA
38;1;1;2;"10102021";URBANISMO CENTAURO BICENTENARIO;AV PRINCIPAL DE LA CALLE REAL DE SARRIA ENTRE CALLEJÓN LOURDES EDIF CENTAURO BICENTENARIO
39;1;1;2;"10102022";ESCUELA DE TAEKWONDO;AV ESTE 3 ENTRE ESQ DE SOCORRO A CALERO. EDIF LUIS FERNANDO
40;1;1;2;"10102023";EDIFICIO CONTINENTE;AV MÉXICO DIAGONAL AL LICEO ANDRÉS BELLO EDIFICIO CONTINENTE
41;1;1;2;"10102024";EDIFICIO GIGANTE DE LA PATRIA;AVENIDA MÉXICO FRENTE A LA ESTACIÓN DEL METRO BELLAS ARTES EDIFICIO GIGANTE DE LA PATRIA
42;1;1;2;"10102025";OFICINA PRESIDENCIAL PARA PROYECTOS ESPECIALES 12;AVENIDA SUR 21 ENTRE AVENIDAS MÉXICO Y BOLIVAR EDIFICIO OPPE12
43;1;1;2;"10102026";CASA DE LA CULTURA Y BASE DE MISIONES JUANA LA AVA;ESQUINA SANTO DOMINGO PLAZOLETA SECTOR SARRIA.
